Title,Variety,Appelation,Rating,Price
Château la Baronnerie 2016 Grand Vin  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Alsace, 87, 24
Château Cailleteau Bergeron 2016 Clos Mansio Vieilles Vignes  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Alsace, 87, 20
Domaine de la Verde 2015 Alpha-Omega Grenache-Syrah (Vacqueyras), Vacqueyras, Alsace, 90, 35
Château la Croix des Pins 2016 Les Contreforts de Montmirail Grenache-Syrah (Beaumes-de-Venise), Beaumes-de-Venise, Alsace, 88, 25
Jean-Noël Haton 2012 Noble Vintage Brut  (Champagne), Champagne, Alsace, 93, 60
Jean-Noël Haton NV Blanc de Blancs Brut Chardonnay (Champagne), Champagne, Bordeaux, 91, 55
Xavier Flouret 2017 French Blonde  (Sancerre), Sancerre, Bordeaux, 88, 25
Josmeyer 2015 Hengst Grand Cru Riesling (Alsace), Alsace, Alsace, 97, 80
Josmeyer 2014 Hengst Samain Grand Cru Riesling (Alsace), Alsace, Alsace, 95, 100
Josmeyer 2014 Hengst Grand Cru Riesling (Alsace), Alsace, Alsace, 95, 80
Josmeyer 2015 Hengst Grand Cru Pinot Gris (Alsace), Alsace, Alsace, 94, 80
Be Good or Be Gone 2015 BG 2 The French Revolution Lot 11 Red (Vin de France), Vin de France, Alsace, 87, 14
Be Good or Be Gone 2015 BG 2 The French Revolution Lot 3 Red (Vin de France), Vin de France, Alsace, 85, 14
Be Good or Be Gone 2015 BG 2 The French Revolution Lot 7 Red (Vin de France), Vin de France, Alsace, 85, 14
Charles Père et Fille 2016 Cuvée du Menhir  (Bourgogne Hautes Côtes de Beaune), Bourgogne Hautes Côtes de Beaune, Alsace, 90, 36
Domaine des Remizières 2016 Cuvée Particulière Marsanne (Crozes-Hermitage), Crozes-Hermitage, France Other, 91, 50
Domaine des Remizières 2016 Cuvée Christophe White (Crozes-Hermitage), Crozes-Hermitage, France Other, 91, 50
Josmeyer 2016 Le Dragon Riesling (Alsace), Alsace, France Other, 93, 50
Josmeyer 2016 Fromenteau Vu Par Isabelle Pinot Gris (Alsace), Alsace, France Other, 93, 38
Josmeyer 2016 Kottabe Riesling (Alsace), Alsace, France Other, 90, 38
Josmeyer 2015 Les Folastries Vu par Isabelle Gewurztraminer (Alsace), Alsace, France Other, 90, 40
Les Domaines Auriol Claude Vialade 2016 Made with Organic Grapes Elegantly French Cabernet Sauvignon (Pays d'Oc), Pays d'Oc, Burgundy, 86, 10
Domaine Gavoty 2017 Cuvée Clarendon Rosé (Côtes de Provence), Côtes de Provence, Burgundy, 90, 30
Château L'Ermitage 2017 Sainte Cécile White (Costières de Nîmes), Costières de Nîmes, Rhône Valley, 89, 19
Domaine des Diables 2017 MiP Made in Provence Collection Rosé (Côtes de Provence), Côtes de Provence, Rhône Valley, 88, 30
Château Réal d'Or 2017 Monaco La Riviera Rosé (Côtes de Provence), Côtes de Provence, Rhône Valley, 88, 35
Château Bourseau 2015  Lalande de Pomerol, Château Bourseau 2015  Lalande de Pomero, Rhône Valley, 92, 50
Domaine Lombard 2014 Brézème Eugène de Monicault Syrah (Côtes du Rhône Brézème), Côtes du Rhône Brézème, Rhône Valley, 92, 40
Château Bourseau 2015 La Croix de Bourseau  (Lalande de Pomerol), Lalande de Pomerol, Rhône Valley, 90, 60
Les Domaines Auriol Claude Vialade 2016 Made with Organic Grapes Elegantly French Pinot Noir (Pays d'Oc), Pays d'Oc, Bordeaux, 88, 12
Château Bourseau 2014  Lalande de Pomerol, Château Bourseau 2014  Lalande de Pomero, Bordeaux, 88, 35
Domaine La Tour de Gâtigne 2015 Viognier (Cévennes), Cévennes, Languedoc-Roussillon, 87, 14
Château les Ormes Sorbet 2015  Médoc, Château les Ormes Sorbet 2015  Médo, Languedoc-Roussillon, 92, 30
Sol Béni 2015  Saint-Émilion, Sol Béni 2015  Saint-Émilio, Bordeaux, 92, 85
Château de Panigon 2015  Médoc, Château de Panigon 2015  Médo, Bordeaux, 91, 20
Les Vignerons de Tutiac 2014 Lieu-Dit Coudrat  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Rhône Valley, 89, 40
Château Fontis 2015  Médoc, Château Fontis 2015  Médo, Rhône Valley, 88, /A
Château des Tours 2016  Brouilly, Château des Tours 2016  Brouill, Bordeaux, 91, 20
Vignoble Charmet 2016 Moulin la Blanche  (Beaujolais), Beaujolais, Bordeaux, 89, 21
Vignoble Charmet 2016 Goyette D'Or  (Beaujolais Blanc), Beaujolais Blanc, Bordeaux, 87, 20
Clos Teddi 2016 Red (Patrimonio), Patrimonio, Bordeaux, 88, 25
Terre de Vignerons 2016 Le Phare Rosé (Atlantique), Atlantique, Bordeaux, 84, 10
Xavier Flouret 2016 French Blonde  (Sancerre), Sancerre, Bordeaux, 87, 23
Château Guilhem 2015 Pot de Vin Syrah Rosé (Pays d'Oc), Pays d'Oc, Bordeaux, 83, 11
Domaine Girard 2016 Philippe Girard  (Sancerre), Sancerre, Bordeaux, 88, 26
Xavier Flouret 2015 French Blonde  (Sancerre), Sancerre, Bordeaux, 87, 23
Les Vignerons de Tutiac 2014 Lieu-Dit Ter Pointe  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Bordeaux, 92, 40
